Nume Materie,Semestru
ASC,1
CDI,1
GCEA,1
LMC,1
PA,1
SAI,1
BD,2
GAL,2
LFA,2
POO,2
SD,2
SO,2
TW,2
AF,3
DAW,3
PF,3
PS,3
SGBD,3
AA,4
FLP,4
IA,4
MDS,4
PAO,4
RC,4
AMI,5
CC,5
CS,5
GV,5
IS,5
SSI,5
IAOpt,6
ISOpt,6
LICENTA,6
PD,6
PRACTICA,6
SDS,6
