Nume Materie,Semestru
SAI,1
CDI,1
LMC,1
PA,1
ASC,1
GCEA,1
GAL,2
BD,2
SD,2
LFA,2
POO,2
TW,2
PS,3
AF,3
SGBD,3
PF,3
SO,3
DAW,3
IA,4
PAO,4
AA,4
FLP,4
MDS,4
RC,4
CC,5
SSI,5
IS,5
AMI,5
CS,5
GV,5
SDS,6
ISOpt,6
PD,6
IAOpt,6
LICENTA,6
PRACTICA,6
